   cnt        subj
1  331 APH10052225
2  301 APH73111099
3  289 APH43011857
4  289 APHE10007nf
5  286 APH71079504
6  277 APH41008926
7  243 APH43088972
8  243 APH71111343
9  235 APH71021918
10 222 APH72565847
11 205 APH73565847
12 203 APH71132820
13 194 APH71122015
14 189 APH22373033
15 189 APH10062207
16 185 APH10127443
17 184 APH10132362
18 178 APH22867565
19 176 APH10102031
20 174 APH71084212
21 173 APH72064707
22 167 APH21461360
23 167 APH21867565
24 159 APH10044731
25 156 APH10012887
26 155 APH22938697
27 154 APH22461360
28 145 APH43932425
29 143 APH22440067
30 141 APH32105285
31 139 APH10132181
32 127 APH73128619
33 127 APH23909631
34 127 APH32105467
35 125 APH73045630
36 122 APH32149682
37 122 APH51518349
38 121 APH71088618
39 120 APH33069333
40 120 APH22101336
